교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
남원시 교통약자이동지원센터,전라북도 남원시 검멀길 13,전라북도 남원시 금동 153,35.40341851,127.377408,9,카니발,9,0,063-227-0002,www.0632270002.com,전라북도 광역이동지원센터 승객용앱,8:00,24:00:00,8:00,24:00:00,8:00,24:00:00,8:00,24:00:00,7일,"·이용신청 없이 운전원과 직접 연락하여 차량을 이용한 경우·무임승차를 한 경우·상담원, 운전원에 대하여 욕설·폭언·폭행·성적 희롱을 한 경우·방뇨, 오물투기 등 의도적으로 차량의 운행을 방해하는 경우·광역이동지원센터에 방문하여 무단으로 소란을 일으키거나 업무를 방해하는 경우·이용객과 동반할 목적이 아닌 비장애인을 동승시키는 경우·이용객과 동반할 목적이 아닌 비장애인을 동승시키는 경우(기간에 관계없이 2회 적발시)",남원시 전지역,권역(남원+순창+임실) 및 전국,"· 장애의 정도가 “심한 장애인” 중 대중교통 이용이 어려운자 (보행상 장애인)· 65세 이상으로 대중교통 이용이 어려운 자· 대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자","· 권역내요금 : 기본요금 2km 700원+주행요금 km당 100원· 권역외요금 : 기본요금 2km 700원+주행요금 700m당 100원· 통행료 및 주차료 등 : 이용자 부담· 대기료 : 권역외 30분당 2,500원(1시간 무료), 전라북도 외 30분당 2,500원(2시간 무료)",남원시청,063-620-6564,2021.9.9,4700000,전라북도 남원시
강릉시교통약자이동지원센터,강원도 강릉시 강변로 636-5,강원도 강릉시 두산동 228-3,37.76923243,128.9298548,16,스타렉스+카니발,9,7,1577-2014,http://call.gwd.go.kr,,0:00,23:59,0:00,0:00,0:00,0:00,0:00,0:00,최소 1일전,예약당일취소 또는 현장취소가 월 3회 초과 시 1개월 제한+비장애인만 승차하는 경우,강릉시 전지역,강원도 전지역+강원도 외 지역 상급병원,장애의 정도가 심한 장애인 중 보행불편 장애인+임산부+만65세이상 고령자 중 휠체어 이용자+교통약자를 동반하는 가족 및 보호자,"관내지역(기본 4㎞)기본요금 1,100원외 1Km당 100원 추가+관외지역 기본요금 1,100원외 1Km당 100원 추가+시설이용료(통행료,주차료등)와 대기료(1시간 무료,30분당 2,000원, 최대 4시간 대기가능)은 이용자 추가 부담",강원도강릉시(개인택시강릉시지부위탁운영),033-640-5390,2021.11.2,4200000,강원도 강릉시
부천시교통약자이동지원센터,경기도 부천시 석천로 293,경기도 부천시 중동 1024,37.51275697,126.7639108,75,승합차+버스,75,0,1588-3815,https://www.best.or.kr/fmcs/25,경기도광역이동지원시스템,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24시간 운영,정당한 요금을 지불하지 않는 경우+상담원 및 운전원에게 욕설이나 폭행을 하는 경우+이동지원센터 및 특별교통수단의 기물을 손괴한 경우+이용대상자가 아닌 사람을 부정하게 이용할 수 있도록 협조한 경우,전지역,서울+인천+김포+고양+광명+시흥시,1~2급+등록장애인,1000,부천도시공사,032-625-9403,2021.10.25,3860000,경기도 부천시
칠곡군 교통약자 이동지원센터,경상북도 칠곡군 왜관읍 석전로7길 58,경상북도 칠곡군 왜관읍 석전리 473,36.00666888,128.4082377,7,승합차,7,0,1899-7770,인터넷 예약 불가,해당없음,9:00,18:00,9:00,18:00,8:00,18:00,8:00,14:00,이용일 7일전부터 1일전까지,-,칠곡군,경상북도 및 대구광역시(병원 및 관공서 이용),"1. 「장애인복지법 시행규칙」제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표 1에 따른 장애의 정도가 심한 장애인으로서 대중교통의 이용이 어려운 사람 2. 사고,질병등일시적장애로휠체어를이용하는사람으로서대중교통의이용이 어려운 사람3. 1호및2호에해당하는교통약자를동반한가족이나보호자4. 그밖에특별교통수단이필요하다고인정하는사람","기본료(2km까지): 1,300원, 2km 초과부터 km당: 200원   ※ 관내는 최대 7,000원, 고속도로 통행료 및 주차료 이용자 부담",칠곡군청 교통행정과,054-979-6564,2020.7.7,5220000,경상북도 칠곡군
이천시교통약자이동지원센터,경기도 이천시 부악로 30-45,경기도 이천시 중리동 382,37.2735354,127.4315494,24,그랜드카니발+올뉴카니발,24,0,1899-0017,https://www.2000happydream.or.kr,이천교통약자,9:00,18:00,9:00,18:00,7:00,21:00,9:00,18:00,7일,"부득이한 사유로 예약을 취소하고자 할 때에는 늦어도 차량이용 일시의 24시간 이전에 취소하여야한다(30일)+승차할 때에 운전원에게 신분증을 제시하여 본인임을 확인시켜야 한(30일)+목적지 변경 또는 이용신청청을 취소할 경우에는 센터에 즉시 통보하여 승인을 받아야 한다(30일)+이천시 관외병원진료, 장애인단체 및 시설 이용 목적으로 이용시 이용자는 병원진료 종료시각이 나타난 진료영수증 등 증빙서류를, 장애인단체 및 시설 이용자는 관련 공문 등 증",이천시 전지역,서울특별시+경기도+인천광역시+강원도원주+충북충주+충북음성,「보행상 장애 표준 기준표」에 해당하는 장애인(장애인증명서 제출)+ 「보행상 장애 표준 기준표」에 해당하지 않는 장애인(진단서 제출)+65세 이상 고령자 중 대중교통 이용이 어려운 사람(진단서 제출)+임산부로서 대중교통 이용이 어려운 사람(진단서 제출)+국가유공자로서 대중교통 이용이 어려운 사람(진단서 제출)+교통약자를 동반하는 2인 이내의 가족 및 보호자,"기본요금 10km 1,200원+추가요금 5km 당 100원+왕복운행시 대기료 시간당 1,000원(2시간 이내)+고속도로통행료 및 유료주차장 사용료 이용자 부담",경기 이천시,031-644-2372,2021.3.31,B553081,이천시시설관리공단
한국교통장애인협회 영덕군지회,경상북도 영덕군 영덕읍 남석2길 5,경상북도 영덕군 영덕읍 남석리 62-2,36.410485,129.367214,2,카니발,2,0,054-734-3006,yd8254@hanmail.net,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,30일,"복지카드(신분증)의 제시 또는 관련서류의 제출을 거부한 경우+보호자 없이 탑승시 안전상의 문제가 발생 할 수 있다고 판단되는 경우+실제 탑승인과 복지카드의 대상자가 다를 경우+의도적으로 특별교통수단 운행을 방해한자(방뇨, 오물투기 등)+운행원칙에 반하는 무리한 요구를 하는 자",영덕 전지역,경북 전지역+대구광역시,"1,2급 장애인+3급하지장애인+대중교통이 어렵다는 진단서 제출 장애인","기본 5km 1,400 5km초과 미터당 200원 추가요금 발생 한나절대절60,000 반나절 30,000",경상북도 영덕군청,054-730-6255,2021.9.15,5180000,경상북도 영덕군
여수시교통약자이동지원센터,전라남도 여수시 성산로 46(화장동),전라남도 여수시 화장동 761-3,34.774271,127.6425851,23,카니발,17,6,1899-1110,없음,없음,0:00,0:00,0:00,0:00,0:00,23:59,0:00,23:59,없음,없음,여수시,광주광역시+전남전지역,대중교통 이용이 어려운 보행상 장애인,기본요금 2km까지 700원+이후요금 164m당 30원+시간요금 39초당 30원,여수시,061-659-4129,2020.10.30,4810000,전라남도 여수시
양구군교통약자이동지원센터,강원도 양구군 양구읍 비봉로73번길12,강원도 양구군 양구읍 하리 97-3,38.10874826,127.986475,3,카니발,0,3,1577-2014,http://call.gwd.go.kr/main.do,강원도 교통약자 광역이동지원센터,7:00,24:00:00,9:00,18:00,7:00,24:00:00,9:00,18:00,1주일전～1일전,,관내 전구간,강원도 내,장애의 정도가 심한 장애인65세 이상 대중교통이 어려운 사람,"4km까지 1,100원",양구군,033-480-2715,2020.7.8,4320000,강원도 양구군
예산군 교통약자이동지원센터,충청남도 예산군 예산읍 벚꽃로 171,충청남도 예산군 예산읍 발연리 67,36.69599281,126.8366807,7,카니발 7대,7,0,1644-5588,해당없음,해당없음,9:00,18:00,0:00,0:00,9:00,18:00,9:00,18:00,이용 2일 전,,관내,충청남도내,"대중교통이용이 어려운 정도가 심한 보행 장애인 및 65세 노인, 임산부, 일시적 장애인 등","(관내) 기본요금: 2km까지 1000원, 추가요금: 130원/km (관외) 260원/km",충청남도 예산군청,041-339-7694,2021.5.25,4610000,충청남도 예산군
보은군장애인생활이동지원센터,충청북도 보은군 보은읍 뱃들로 68-38,충청북도 보은군 보은읍 이평리 105-2,36.4886825,127.7234966,2,"스타랙스12인승, 레이",0,0,043-543-2705,해당없음,해당없음,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,1주일전,없음,보은군 전지역,"청주, 대전",등록된 장애인,요금 기준표 참고,(사)충북시각장애인복지연합회보은군지회,043-543-2705,2021.5.6,4420000,충청북도 보은군
(사)한국교통장애인협회 울진군지회,경상북도 울진군 울진읍 공세항길 19-60,경상북도 울진군 울진읍 읍내리 15-2,36.99137861,129.405693,7,카니발,0,4,054-782-5775,해당없음,해당없음,8:00,18:00,0:00,0:00,8:00,18:00,0:00,0:00,관내 3일전+관외 2달전,관내 주5회+관외:1달에 2번,울진군 관내,경상북도+강릉병원+대구병원+동해병원+삼척병원,장애등급 1급+2급 장애인+65세 이상의 대중교통수단이용이 어려운 사람(의사진단서),"관내편도기준 기본4km까지 1,400원외 1km당 200원+관외요금 시외버스요금의 2배",경상북도 울진군청,054-789-6393,2021.5.13,5250000,경상북도 울진군
진천군 교통약자이동지원센터,충청북도 진천군 진천읍 중앙북1길 11-10,충청북도 진천군 진천읍 벽암리 570-1,36.8610976,127.439492,6,스타렉스2+카니발4,5,1,043-534-5758,인터넷 예약 안됨,없음,7:00,19:00,9:00,18:00,7:00,19:00,8:30,17:30,"관내3일,관외7일",,진천군내,"청주, 진천군인접지역","1. 「장애인복지법 시행규칙」 제2조제1항의 규정에 따른 장애의 정도가 심한 장애인으로서 버스 등 대중교통의 이용이 어려운 사람2. 만 65세 이상의 사람으로서 버스 등 대중교통의 이용이 어려운 사람 3. 제1호부터 제2호의 교통약자외 혼자서 외출과 이동이 곤란하여 특별교통수단이 필요하다고 인정되는 사람(임산부, 일시적 장애로 거동이 어려운 사람 등) 4. 제1호부터 제3호까지의 규정에 해당하는 교통약자를 동반하는 가족과 보호자","5km까지 2,000원(초과시 1km당 360원)최대 4000원",진천군,043-539-3727,2021.9.23,4450000,충청북도 진천군
안산시 하모니콜,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,37.31947602,126.8164939,61,카니발+스타렉스,60,1,1588-5410,없음,,9:00,18:00,9:00,18:00,0:00,24:00:00,0:00,24:00:00,1일전,,전구간,"수도권(서울,인천,경기)",장애의정도가 심한 보행상장애인+국가유공상이자+노약자(재활치료 및 진료목적)+어린이(만5세미만으로 전문병원 이상 의료기관에서 1개월 이상의 지속적인 치료 진단),"관내 : 1,200원(10km)+관외 : 기본 1,200원(10km) 추가 5km 마다 100원",안산도시공사,031-8058-7497,2021.8.31,3930000,경기도 안산시
청송군 교통약자이동지원센터,경상북도 청송군 청송읍 중앙로 299,경상북도 청송군 청송읍 월막리 290-3,36.43511571,129.0614924,2,카니발,2,0,1899-7770,http://www.brmcall.co.kr,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,23:59,연중,,,,보행장애인으로서 장애의정도가 심한 장애인으로서 대중교통 이용이 어려운 사람 + 일시적 휠체어 이용자 + 서비스 대상자와 동승하는 최소 필요 보호자+임산부+노약자,"1,000원/10km(기본) + 200원/1km(추가)",청송군,054-870-6254,2021.9.16,5160000,경상북도 청송군
진안군교통약자이동지원센터,진안군 진안읍 관산2길 11,진안군 진안읍 군하리 91-1,35.790572,127.425266,3,카니발,3,0,063-433-4222,https://www.0632270002.com:8443/view/index.do,전라북도 광역이동지원센터 승객용 앱,9:00,17:00,9:00,17:00,8:00,20:00,9:00,18:00,전일 17:00까지,"1. 차량 도착 후 취소한 경우2. 차량 도착 후 아무런 연락이 없이 10분 이상 이용하지 않는 경우3. 사전 예약 후 예약시간으로부터 1시간 이내에 예약을 취소한 경우4. 이용신청 없이 운전원과 직접 연락하여 차량을 이용한 경우.5. 상담원, 운전원에 대하여 욕설, 폭언, 성적 희롱을 한 경우.6. 방뇨, 오물투기 등 의도적으로 차량의 운행을 방해하는 경우.7. 광역이동지원센테에 방문하여 무단으로 소란을 일으키거나 업무를 방해하는 경우8. 이",진안군,제한없음,"1.장애의 정도가 “심한 장애인” 중 대중교통 이용이 어려운 자(보행상 장애인) 2.65세 이상으로 대중교통 이용이 어려운 자3.대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자4.이용대상자를 동반하는 가족 및 보호자5.타 지역 거주자(심한 장애인)이나 일시적 방문자(사전신청 접수시)","권역내 요금- 기본요금 2km당 700원- 주행요금 km당 100원(2천원 이상시 2천원)권역외 요금- 기본요금 2km당 700원- 주행요금 700m당 100원통행료 및 주차료 등 : 이용자 부담대기료-권역외 : 30분당 2,500원(1시간무료)-전라북도외 : 30분당 2,500원(2시간무료)",진안군,063-430-2356,2021.9.15,4730000,전라북도 진안군
김천시교통약자이동지원센터,경상북도 김천시 환경로 105,경상북도 김천시 신음동 52,36.13177,128.137665,10,스타렉스3대+카니발7대,10,0,1899-7770,www.brmcall.co.kr,해당없음,9:00,18:00,0:01,0:01,8:00,20:00,8:00,20:00,7일,관외 운행은 병원이용목적에 한함+주말 운행은 사전예약자에 한함,김천시 전 지역,"경상북도 내, 대구광역시, 김천시와 연접한 시·군",1급 ~ 3급 장애인 (장애 정도가 심한 장애인)+65세 이상으로 대중교통의 이용이 어려운 사람+사고ㆍ질병 등으로 인하여 일시적으로 휠체어 이용자+임산부로서 대중교통수단의 이용이 어려운 사람+국가유공자 등 예우 및 지원에 관한 법률 시행령 제14조제3항에 따른 상이등급+3급 이상에 해당하는 사람으로 대중교통 이용이 어려운 사람+그밖에 특별교통수단이 필요하다고 인정되는 사람+위 해당하는 교통약자를 동반하는 가족 및 보호자,"기본운임(2km 미만) : 1,400원+2km이상~10km 미만 : 300원/km+10km 이상 : 100원/km+시외:시외버스 요금의 2배+유료도로 이용료, 주차료는 이용자 부담",김천시,054-420-6688,2021.9.16,5060000,경상북도 김천시
영광군 특별교통수단(장애인콜택시),전라남도 영광군 영광읍 옥당로 50,전라남도 영광군 영광읍 녹사리 242-1,35.26952915,126.5090179,5,올뉴카니발,5,0,1899-1110,http://www.doumcall.kr,전남광역승객용앱,7:00,23:59,7:00,18:00,8:00,22:00,8:00,17:00,1일 전,,영광군 관내,전라남도 내,중증 장애인+2급 이상의 상이등급+ 사고·질병 등으로 인한 일시적 장애+65세 이상 노약자+동반하는 가족 및 보호자 2인 이내,"기본요금2km  500원 / 추가 1㎞당 100 / 최고 1,000원 / (관외지역) 시외버스 요금",전남지체장애인협회 영광군지회,061-353-8041,2021.9.15,4970000,전라남도 영광군
안성시교통약자이동지원센터,경기도 안성시 보개면 종합운동장로 162,경기도 안성시 보개면 양복리 210,37.01319895,127.3278403,15,카니발 승합,15,0,031-677-6655,www.asimc.or.kr,,9:00,18:00,0:00,23:59,7:00,21:00,0:00,23:59,3일전,예약취소 월2회+일반인동승+중도하차+의도적운행방해+요금체납,전지역,서울시+경기도 전지역+천안+음성+진천,장애1~2등급+65세이상 대중교통이용이 어려운자+임산부+영유아 동반 대중교통 이용이 어려운자+일시적 휄체어 이용자,"10km/1,300원시계외 20+할증대기료 1,000원",안성시시설관리공단위탁,031-672-1234,2021.3.15,4080000,경기도 안성시
무안군교통약지이동지원센터,전라남도 무안군 무안읍 면성1길 27,전라남도 무안군 무안읍 성내리 174-10,34.99186126,126.478132,4,카니발장애인차,4,0,1899-1110,http://www.doumcall.kr/,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,24시간 전,예약 후 당일 취소 및 연락불가시 이용제한,관내 전지역,전라남도,65세이상 대중교통이용 불가능자중복3급이상 중증장애인임산부일시적 휠체어 이용자,"2km 1400, 146m당 64원",사단법인 무안군장애인협회,061-454-8818,2021.8.27,4950000,전라남도 무안군
가평군교통약자이동지원센터,경기도 가평군 가평읍 문화로 153,경기도 가평군 가평읍 대곡리 318,37.82631492,127.5075875,16,카니발,16,0,031-8078-8122,https://www.gpfmc.or.kr/sub2/sub2_4-2.php,미정,9:00,17:00,0:00,0:00,7:00,20:00,7:00,20:00,이용일 2일전 까지,특별교통수단 이용대상자(등록심사를 받은 등록된자)에 한해서 사용 가능,가평전역,"경기도 인접지역(ㅇ야평,남양주,포천,구리,의정부)서울,춘천","「장애인복지법 시행규?o」 제28조 제1항에 따른 보행상의 장애인으로서 버스, 지하철 등의 이용 어려운 사람 65세 이상으로 휠체어 이용으로 인한 버스 등 대중교통의 이용이 어려운 사람 임산부 및 영유아를 동반한 자로서 대중교통의 이용이 어려운 사람 사고·질병 등으로 일시적으로 휠체어를 이용하는 사람으로 대중교통의 이용이 어려운 사람","기본요금: 1,300원(10km 이내),추가요금: 기본요금 초과부터 5km당 100원 추가",가평군,031-580-2203,2021.8.24,4160000,경기도 가평군
거창군교통약자이동지원센터,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332,7,카니발+스타렉스,5,2,1566-4488,해당없음,,0:00,23:59,0:00,23:59,7:00,23:00,7:00,22:00,전날 21:00,,거창군 관내,경상남도+대구광역시(치료목적만 편도로 이용가능),"심한 장애인 중 보행상 장애인, 65세이상 노인, 임산부, 휠체어이용자(대중교통 이용이 어려운자), 동반하는 가족 및 보호자","관내 : 2,000원 + 관외 : 시외버스 요금의 1.5배",경상남도 거창군청,055-940-3388,2021.8.31,5470000,경상남도 거창군
김포시 교통약자 이동지원센터,경기도 김포시 금포로 1127,경기도 김포시 운양동 5-6,37.64689872,126.7047807,40,그랜드카니발R,40,0,1899-2008,해당없음,,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,0,대기시간 15분 초과 회차 발생 + 차량 도착 후 15분 이내에 미승차 월 3회 이상 +  상담원 상담 및 신청 방해 + 장난전화 3회 이상인 경우 + 이용예정시각 1시간 이내 취소한 경우가 월 3회 등,관내 전체,경기도 + 서울시 +인천시,"1, 2급 등록 장애인(명부에 등재된 장애인 신분확인 후 이용가능) +65세이상 고령자로 대중교통 이용이 어려운 사람(이용대상자 심사 및 승인 후 이용가능 - 대중교통 이용불편 진단서 첨부)","관내 1,000원, 관외 추가요금 100원/5km",김포시 시설관리공단,031-986-9484,2021.10.1,4090000,경기도 김포시
예천군장애인이동지원센터,경상북도 예천군 예천읍 대심1길 22,경상북도 예천군 예천읍 대심리 424-4,36.649653,128.441283,6,그랜드카니발 저상슬로프 차량,6,0,054-652-7179,0:00,0:00,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,24시간전,특별한 제한없음,예천군 관내 전지역,대구광역시+경상권 전지역,지체(하지)+뇌병변+신장 1∼2급장애인 및 동반보호자,"기본료 5km까지 1,200원+5km초과시 200원/km+톨게이트비+주차료 본인부담",경상북도 예천군,054-650-6253,2021.10.29,5230000,경상북도 예천군
천안시 교통약자이동지원센터,충청남도 천안시 동남구 다가말2길 104 일봉회관 5층,충청남도 천안시 동남구 다가동 405-6,36.797916,127.1431034,41,카니발+스타렉스,41,0,041-558-0010,해당없음,충남 광역이동지원센터 이용자용 앱,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,즉시콜,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우2. 장애등급을 허위 고지하여 우선배차를 받는 등 부정 탑승 행위를 한 경우 3. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우4. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우5. 장애인 보조견을 제외한 운전에 방해를 줄 수 있는 애완동물 및 폭발성, 인화성 ",천안시내권,없음,「교통약자의 이동편의 증진법 시행규칙」 제6조제1항 각 호의 사람+임신부+일시적으로 보행상 장애가 있는 사람,"관내지역(기본요금 2km당 1,000원+거리할증 1km당 130원)+관외지역(1km당 260원)+대기료 30분당 2,000원+통행료는 이용자 부담",충청남도 천안시 대중교통과,041-521-5634,2021.10.22,4490000,충청남도 천안시
교통약자 이동지원 센터 행복콜,"경상북도 문경시 남부4길 13(모전동, 장원하이드파크) 101호",경상북도 문경시 모전동 67,36.5871278,128.1940527,8,카니발(휠체어슬로프) 차량,8,0,054-556-7755,인터넷 접수불가,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,당일 2시간 전 즉시예약,"1) 당일 2시간 전 예약 건에 한함+2) 주말운행은 병원이용 목적인 사전 예약자에 한함+3) 예약 시, 1, 2급 장애인증명서(또는 복지카드) 또는 의사소견서를 첨부해야함.",문경시 전역,경북+ 대구(병원이용목적으로만),"1) 장애정도가 심한 장애인+2) 장애정도가 심하지 않은 장애인, 65세 이상 노약자, 임산부 중 대중교통 이용이 어려운자  및 일시적 장애로 인한 휠체어 이용자+3) 1과 2의 이용대상자 보호자 및 가족","1) 기본요금:1,300원(5km내)+2) 추가요금: 200원/km(5km초과 시)*단, 관내는 5,000원 이내, 관외는 시외버스 요금의 2배 를 초과하지 못함.",문경시,054-550-6859,2021.10.22,5120000,경상북도 문경시
강원도지체장애인협회 고성군지회,강원도 고성군 죽왕면 동해대로 6520,강원도 고성군 죽왕면 가진리 299-19,38.37818193,128.4988401,3,승합 중형,3,0,1577-2014,http://call.gwd.go.kr/main.do,,9:00,18:00,9:00,18:00,9:00,18:00,0:00,0:00,0,,고성군 일원,"서울, 강원도내 당일 왕복 가능지역","장애정도가 심한 장애인으로 대중교통이용이 어려운 사람, 65세 이상의 사람으로 대중교통 이용이 어려운 사람(소견서 및 진단서 첨부), 교통약자를 동반하는 가족 및 보호자, 장애인복지법 제65조에 따른 보장구 이용 대상자, 임산부 및 일시적으로 휠체어를 이용하는 사람으로 대중교통 이용이 어려운 사람 등","운행요금 : 4km까지 1,100원 / 4km초과 시 1km마다 100원, 대기료 : 최초1시간 무료, 초과 30분 당 1,000원",강원도 고성군청,033-680-3748,2021.10.20,4340000,강원도 고성군
화성시 교통약자이동지원센터(화성나래),경기도 화성시 향남읍 향남로 470,경기도 화성시 향남읍 도이리 산31-6번지,37.13752921,126.9242565,58,슬로프형휠체어차량,58,0,080-600-0677,https://www.hsnarae.or.kr,화성시 교통약자 이동지원센터,6:00,22:00,6:00,22:00,0:00,24:00:00,0:00,24:00:00,이용일 전일 08:00부터 예약가능,"본인확인 요구 거부, 본인 아닌 제3자가 차량을 이용할 수 있도록 허위 신청, 차량도착 후 10분 이내 미 승차, 이용신청 후 별도 통보없이 차량 미이용, 이용 예정시간 1시간 이내에 이용신청 취소, 원활한 운영저해 등 : 월 3회 누적 위반 시 7일간 이용 제한 / 상담원, 운전원에게 욕설, 폭언 및 폭행, 성희롱 등 : 1개월 내 이용 제한",화성시 전역,"서울, 인천, 경기(단, 출발지는 화성시 관내로 함)","1. 장애정도가 심한 보행상 장애인, 2. 65세 이상 고령자, 임산부, 영유아 동반자, 어린이 등의 교통약자 중 대중교통 이용이 어렵다는 진단서를 제출한 사람, 3. 일시적인 보행상 장애로 대중교통 이용이 어렵다는 진단서를 제출한 사람, 4. 1~3까지 해당하는 교통약자를 동반하는 2명 이내의 보호자","기본 1,200원(10km이내), 추가 100원/5km",화성도시공사,080-600-0677,2021.10.20,5530000,경기도 화성시
임실군장애인연합회 교통약자이동지원센터,전라북도 임실군 임실읍 호국로 1644,전라북도 임실군 임실읍 이도리 380-2,35.61026512,127.283295,3,"스타렉스 2대, 카니발 1대",3,0,063-642-5118,해당없음,해당없음,9:00,10:00,9:00,10:00,8:00,22:00,8:00,16:00,0,,관내,관내인탑승시 전지역 운행,"보행상의 장애인으로서 장애의 정도가 심한 장애인과, 65세 이상 노인 중 버스이용이 어려운 사람 등","권역내(2km 기본요금 700원, km당 100원), 권역외(2km 기본요금 700원, 700m당 100원)",전라북도 임실군청,063-640-2575,2021.10.21,4760000,전라북도 임실군
장성군교통약자이동편의증진센터(전남지체장애인협회 장성군지회),전라남도 장성군 장성읍 청운길 23,,35.30199904,126.7813166,4,카니발,4,0,1899-1110,없음,,9:00,18:00,9:00,18:00,7:00,23:59,9:00,23:59,-,,전라남도,광주광역시,심한장애인 중 보행상장애인 + 일시적으로 대중교통 이용 어려운 사람,"기본요금 500원(2Km까지), 1km당 100원",장성군,061-390-7366,2021.10.20,4980000,전라남도 장성군
목포시 교통약자이동지원센터,전라남도 목포시 영산로 350-3,전라남도 목포시 용당동 993-10,34.80554093,126.4042502,20,카니발+스타렉스,17,3,1899-1110,http://www.doumcall.kr/index_main.html,전남광역승객용앱,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,시외 경우 전일,,전지역,전라남도(신안군 제외) 및 광주광역시,"중증 보행상 장애인, 65세 이상 고령자, 임산부, 일시적 휠체어 이용자로서 대중교통수단의 이용이 어려운자+ 교통약자를 동반하는 가족 및 보호자 2인 이내","기본요금 500원(2km), 추가 1km당 100원(상한액 : 시내버스요금 1,350원)",목포시,061-270-3328,2021.10.20,4800000,전라남도 목포시
창원시설공단 교통편의관리소,경상남도 창원시 성산구 원이대로 450,경상남도 창원시 성산구 중앙동 1,35.234007,128.664735,107,카니발+스타렉스,77,24,1566-4488,해당없음,경남특별교통수단,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,없음,"당일 즉시 이용자 또는 예약자로서 차량 도착 후 이용 취소한 자+차량 도착 후 30분 이내에 승차하지 않는 경우가 3회 이상인 자+예약시간으로부터 1시간 이내 예약취소가 3회 이상인 자+이용신청 없이 운전원과 직접 연락하여 차량을 이용한 자+무임승차가 2회 이상인 자+교통약자와 동반할 목적이 아닌 일반인의 동승 및 중도 하차 요구자+상담원, 운전원에 대한 욕설,폭언,폭행,성적 희롱을 한 경우가 2회 이상인 자+의도적으로 특별교통수단의 운행을 방",창원시 전지역,경상남도+부산광역시,"장애의 정도가 심한 장애인 중 보행상 장애가 있는 사람(등급제 폐지전 1·2급 장애인 모두포함)+국가유공자 상이등급 1, 2급으로 대중교통 이용이 어려운 자+65세 이상·임산부·일시적으로 휠체어를 이용하는 사람 중 대중교통 이용이 어려운 자","관내요금 1,500원+관외요금 시외버스요금",창원시,055-225-4313,2021.10.19,5670000,경상남도 창원시
김해교통약자콜택시,,경상남도 김해시 삼정동 359,35.227692,128.900987,50,스타렉스+카니발,48,2,1566-4488,http://www.15664488.co.kr/,경남특별교통수단,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,1일전 21:00~ 24:00,,김해전역,"경남지역, 부산지역(편도운행)",장애인등급1·2급 소지자 + 65세이상 장기요양등급소지자 + 임산부로 대중교통이용이 어려운 자(의사소견서첨부) + 일시적 휠체어 사용자로 대중교통이용이 어려운 자(의사소견서첨부)+교통약자를 동반하는 가족 및 보호자,"김해시내구간 기본요금 1,200원(2km), 주행 100원(500m) *김해시내 최대요금 2,400원 + 경남지역 시외버스 편도요금 + 부산지역 기본요금 2,400원, 주행요금 200원(500m) *부산 최대요금10,000원",김해시청,055-330-2435,2021.10.15,5350000,경상남도 김해시
